City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.92,32.0,90,14,31.09,CL,1598654987
ponta do sol,32.67,-17.1,75.2,64,20,17.22,PT,1598655007
hithadhoo,-0.6,73.08,81.7,65,100,8.5,MV,1598655008
herat,34.5,62.0,58.59,39,0,12.48,AF,1598654769
roald,62.58,6.13,55.4,76,1,17.22,NO,1598655008
mahebourg,-20.41,57.7,71.6,73,75,11.41,MU,1598655009
rikitea,-23.12,-134.97,69.08,66,0,5.84,PF,1598655009
upernavik,72.79,-56.15,40.35,71,0,15.75,GL,1598655009
takoradi,4.88,-1.76,74.52,90,60,8.52,GH,1598655009
kavieng,-2.57,150.8,82.74,78,98,12.88,PG,1598655010
dabrowa gornicza,50.32,19.24,64.0,56,47,9.1,PL,1598655010
thinadhoo,0.53,72.93,82.22,63,100,7.83,MV,1598655010
poum,-20.23,164.02,72.99,81,79,21.09,NC,1598655011
iqaluit,63.75,-68.51,51.8,57,75,7.34,CA,1598655011
hue,16.47,107.6,82.4,78,20,3.36,VN,1598655011
rawson,-43.3,-65.1,45.97,50,58,18.63,AR,1598654999
nalut,30.33,10.85,81.61,23,0,15.86,LY,1598655012
noyabrsk,63.2,75.45,54.34,97,68,4.5,RU,1598654829
mareeba,-17.0,145.43,70.0,77,75,14.99,AU,1598654714
batemans bay,-35.72,150.18,39.99,96,0,1.01,AU,1598654719
pavlikeni,43.24,25.32,60.8,77,0,5.82,BG,1598655013
arraial do cabo,-22.97,-42.03,71.6,78,0,14.99,BR,1598655013
cape town,-33.93,18.42,51.01,81,75,4.7,ZA,1598654941
anisoc,1.87,10.77,69.21,95,100,1.57,GQ,1598655013
busselton,-33.65,115.33,44.01,80,17,12.3,AU,1598655013
lebu,-37.62,-73.65,45.41,85,92,20.58,CL,1598655014
synya,65.37,58.04,42.87,96,30,4.74,RU,1598655014
vardo,70.37,31.11,39.2,86,40,5.82,NO,1598655014
laguna,38.42,-121.42,97.0,29,1,4.7,US,1598655014
severo-kurilsk,50.68,156.12,52.79,77,55,8.93,RU,1598654982
barrow,71.29,-156.79,39.2,81,90,13.87,US,1598655015
bengkulu,-3.8,102.27,75.29,83,94,4.99,ID,1598655015
tucuman,-26.82,-65.22,73.4,40,1,4.7,AR,1598654737
doong,11.08,123.64,83.84,72,95,9.62,PH,1598655016
pevek,69.7,170.31,40.78,86,67,2.13,RU,1598655016
bayir,37.27,28.22,69.8,73,0,3.36,TR,1598654937
avarua,-21.21,-159.78,77.0,69,26,11.41,CK,1598655016
saint-philippe,-21.36,55.77,69.8,73,75,4.7,RE,1598655016
katsuura,35.13,140.3,87.8,66,20,11.41,JP,1598655017
camana,-16.62,-72.71,61.21,80,81,8.34,PE,1598655017
mmathubudukwane,-24.6,26.43,66.2,52,96,6.93,BW,1598655017
tomari,47.77,142.07,57.16,86,100,16.11,RU,1598655018
northam,51.03,-4.22,55.99,80,94,8.99,GB,1598655018
brigantine,39.41,-74.36,73.4,88,90,8.05,US,1598655018
chokurdakh,70.63,147.92,40.39,82,100,8.66,RU,1598655018
mount gambier,-37.83,140.77,46.4,81,0,13.87,AU,1598655019
nome,64.5,-165.41,57.99,82,90,3.36,US,1598655019
meulaboh,4.14,96.13,75.6,88,98,4.7,ID,1598654765
bluff,-46.6,168.33,45.0,72,90,11.01,NZ,1598655020
pisco,-13.7,-76.22,64.4,77,20,16.11,PE,1598655020
atuona,-9.8,-139.03,77.86,79,64,22.44,PF,1598655020
sitka,57.05,-135.33,57.2,71,75,12.75,US,1598655020
diamantino,-14.41,-56.45,84.0,15,25,0.74,BR,1598655021
seoul,37.57,126.98,78.8,94,20,1.14,KR,1598654978
kieta,-6.22,155.63,83.95,63,58,2.24,PG,1598655021
olinda,-8.01,-34.86,78.8,78,75,9.17,BR,1598654922
izhma,65.01,53.91,43.23,86,17,3.8,RU,1598655022
yellowknife,62.46,-114.35,54.0,87,90,5.82,CA,1598655022
christchurch,-43.53,172.63,55.99,71,2,10.29,NZ,1598654942
hami,42.8,93.45,65.53,41,70,15.48,CN,1598655022
victoria,22.29,114.16,82.0,78,71,3.51,HK,1598654869
puerto del rosario,28.5,-13.86,75.2,78,40,16.11,ES,1598655023
popondetta,-8.75,148.25,77.49,88,100,1.03,PG,1598655023
hermanus,-34.42,19.23,50.0,83,24,11.01,ZA,1598655024
salalah,17.02,54.09,75.2,100,90,3.36,OM,1598655024
henties bay,-22.12,14.28,53.01,89,0,11.74,NA,1598655024
bredasdorp,-34.53,20.04,48.2,81,2,9.17,ZA,1598655025
vaini,-21.2,-175.2,78.8,74,75,10.29,TO,1598655025
charters towers,-20.1,146.27,65.95,49,1,19.89,AU,1598654755
hurghada,27.26,33.81,87.8,20,0,8.05,EG,1598655025
airai,-8.93,125.41,62.49,75,30,5.06,TL,1598655025
cayenne,4.93,-52.33,78.8,94,43,4.7,GF,1598655026
talkha,31.05,31.38,69.58,93,0,1.81,EG,1598655026
husavik,66.04,-17.34,48.2,87,75,2.24,IS,1598655011
kudahuvadhoo,2.67,72.89,81.9,77,100,12.1,MV,1598654970
sinnamary,5.38,-52.95,79.88,83,39,5.08,GF,1598655027
arrecife,28.96,-13.55,73.4,78,75,20.8,ES,1598655027
antalaha,-14.9,50.28,67.32,81,26,6.38,MG,1598655027
batagay-alyta,67.8,130.41,50.32,47,76,1.12,RU,1598655028
dingle,11.0,122.67,78.51,85,100,3.53,PH,1598655028
mar del plata,-38.0,-57.56,54.0,87,68,5.82,AR,1598655028
jaguey grande,22.53,-81.13,89.6,75,20,11.41,CU,1598654941
tevaitoa,-16.78,-151.5,76.77,77,4,19.6,PF,1598655029
monte alegre,-2.01,-54.07,82.78,61,83,1.48,BR,1598655029
puerto escondido,15.85,-97.07,77.0,61,90,6.93,MX,1598654769
chimbote,-9.09,-78.58,62.8,82,6,10.85,PE,1598655030
saskylakh,71.92,114.08,57.22,55,0,3.74,RU,1598655030
hamilton,39.18,-84.53,82.4,83,40,10.29,US,1598654923
filingue,14.35,3.32,83.44,65,60,12.06,NE,1598655030
sola,-13.88,167.55,79.59,84,100,15.93,VU,1598655031
yulara,-25.24,130.99,53.6,25,0,9.17,AU,1598655031
butaritari,3.07,172.79,82.29,74,99,15.43,KI,1598655031
saryg-sep,51.5,95.6,50.25,94,100,2.26,RU,1598655031
kabanjahe,3.1,98.49,62.26,94,53,1.83,ID,1598655032
eau claire,44.81,-91.5,80.01,57,90,11.41,US,1598655032
churapcha,62.0,132.43,53.38,42,40,4.54,RU,1598655032
hilo,19.73,-155.09,86.0,51,40,8.05,US,1598655032
clarence town,-32.58,151.78,54.0,76,0,10.29,AU,1598655033
siparia,10.13,-61.5,84.0,73,53,10.78,TT,1598655033
lagoa,39.05,-27.98,74.16,94,0,15.19,PT,1598655033
tuatapere,-46.13,167.68,45.0,72,50,11.01,NZ,1598654968
nelson bay,-32.72,152.15,54.0,76,0,10.29,AU,1598655034
marawi,8.0,124.29,75.0,84,82,5.99,PH,1598655034
los llanos de aridane,28.66,-17.92,75.99,83,7,16.11,ES,1598655034
carnarvon,-24.87,113.63,57.2,100,2,8.05,AU,1598655034
chuy,-33.7,-53.46,56.35,98,41,4.97,UY,1598655035
sterling,39.01,-77.43,73.99,88,75,11.41,US,1598654763
svetlogorsk,52.63,29.73,53.85,95,40,3.22,BY,1598655035
mayo,38.89,-76.51,82.0,78,90,10.29,US,1598655035
clyde river,70.47,-68.59,50.0,66,20,11.41,CA,1598655036
geraldton,-28.77,114.6,51.8,76,40,5.82,AU,1598654740
hutang,31.53,119.48,69.01,99,100,1.01,CN,1598655036
ilulissat,69.22,-51.1,46.4,45,87,13.87,GL,1598655036
makokou,0.57,12.86,70.61,92,100,3.4,GA,1598655037
purpe,64.48,76.69,54.39,89,34,5.46,RU,1598655037
port elizabeth,-33.92,25.57,53.6,87,1,6.93,ZA,1598654966
lompoc,34.64,-120.46,71.01,64,1,16.11,US,1598655038
coahuayana,18.73,-103.68,71.6,83,90,6.6,MX,1598655038
farafangana,-22.82,47.83,68.27,90,13,5.64,MG,1598655038
khatanga,71.97,102.5,55.49,55,10,5.23,RU,1598655038
esperance,-33.87,121.9,50.0,81,75,17.22,AU,1598655039
granadilla de abona,28.12,-16.58,79.0,54,1,31.09,ES,1598655039
narsaq,60.92,-46.05,60.8,57,100,29.97,GL,1598655039
sur,22.57,59.53,83.23,66,85,8.77,OM,1598655040
ozark,37.02,-93.21,90.0,50,2,7.31,US,1598655040
nago,26.59,127.98,82.4,94,1,8.05,JP,1598655040
faanui,-16.48,-151.75,76.17,80,9,20.24,PF,1598655040
aswan,24.09,32.91,82.58,23,0,6.22,EG,1598654973
kirakira,-10.45,161.92,82.51,76,100,7.49,SB,1598655041
alofi,-19.06,-169.92,78.8,61,97,19.46,NU,1598654771
tual,-5.67,132.75,79.36,82,18,22.91,ID,1598654995
bull savanna,17.89,-77.59,82.0,78,4,8.86,JM,1598655042
shangqiu,34.45,115.65,73.9,88,0,2.26,CN,1598655042
hetauda,27.43,85.03,69.8,94,75,5.82,NP,1598655042
bilibino,68.05,166.44,47.68,59,100,3.94,RU,1598655042
samarai,-10.62,150.67,78.87,86,99,11.54,PG,1598654769
kloulklubed,7.04,134.26,78.8,88,75,8.05,PW,1598655043
statesboro,32.45,-81.78,93.2,59,40,4.7,US,1598654772
emerald,-23.53,148.17,63.0,29,0,12.75,AU,1598655044
tucumcari,35.17,-103.72,97.0,22,34,1.99,US,1598655044
terrace,54.52,-128.6,59.0,58,75,5.82,CA,1598654786
mitsamiouli,-11.38,43.28,75.25,78,15,8.43,KM,1598655044
te anau,-45.42,167.72,45.23,76,55,9.6,NZ,1598655044
tautira,-17.73,-149.15,84.2,51,20,4.7,PF,1598655045
santa maria,-29.68,-53.81,67.15,91,29,4.81,BR,1598655045
gat,31.61,34.76,80.01,25,0,1.83,IL,1598655045
mackenzie,55.3,-123.17,64.4,39,1,12.75,CA,1598655045
kaitangata,-46.28,169.85,54.0,54,63,8.01,NZ,1598655046
montrose,38.42,-108.27,80.01,46,90,13.87,US,1598655046
tornio,65.85,24.15,35.6,100,72,4.7,FI,1598655046
beloha,-25.17,45.05,71.94,58,7,5.84,MG,1598655046
chara,56.91,118.26,55.36,63,100,4.47,RU,1598655047
miedzyrzecz,52.44,15.58,63.0,93,100,1.99,PL,1598655047
loandjili,-4.76,11.86,73.4,88,90,10.29,CG,1598655047
tiksi,71.69,128.87,44.19,80,44,11.88,RU,1598655048
port lavaca,28.61,-96.63,95.0,59,40,12.75,US,1598655048
saint-denis,48.92,2.33,57.99,87,52,6.93,FR,1598655048
ribeira grande,38.52,-28.7,74.5,93,14,10.89,PT,1598655003
hastings,50.86,0.57,54.0,88,44,5.99,GB,1598655049
zhoucheng,35.91,116.31,82.0,1,0,3.96,CN,1598655049
nantucket,41.28,-70.1,71.6,83,1,10.29,US,1598655049
encruzilhada do sul,-30.54,-52.52,60.98,99,51,2.26,BR,1598655050
sile,41.18,29.61,69.01,71,0,10.07,TR,1598655050
egvekinot,66.32,-179.17,46.15,74,98,9.04,RU,1598655050
ostrovnoy,68.05,39.51,48.79,64,69,12.26,RU,1598655051
sebring,27.5,-81.44,91.4,63,1,5.82,US,1598655051
nemuro,43.32,145.57,71.71,88,17,11.74,JP,1598655051
grindavik,63.84,-22.43,48.2,100,90,12.75,IS,1598655051
ojinaga,29.57,-104.42,102.2,15,1,3.36,MX,1598655052
erenhot,43.65,111.98,67.19,48,53,5.93,CN,1598655052
fortuna,40.6,-124.16,64.99,72,1,19.46,US,1598655052
duluth,46.78,-92.11,73.0,88,90,6.93,US,1598654834
svetlaya,46.54,138.33,58.77,89,100,19.17,RU,1598655053
gorontalo,0.54,123.06,78.28,77,26,4.47,ID,1598655053
saint-augustin,51.23,-58.65,53.4,71,48,13.02,CA,1598655053
besikduzu,41.05,39.23,75.2,78,40,4.7,TR,1598655053
riyadh,24.69,46.72,87.8,22,100,4.7,SA,1598654915
polyarnyy,69.2,33.45,42.8,87,20,11.16,RU,1598655054
birao,10.28,22.79,71.44,95,100,4.03,CF,1598655054
port lincoln,-34.73,135.87,59.45,46,0,19.77,AU,1598655054
byron bay,-28.65,153.62,61.0,67,53,6.93,AU,1598654775
roma,43.21,-75.46,73.4,56,40,1.19,US,1598655055
sao joao da barra,-21.64,-41.05,72.41,86,1,13.91,BR,1598655055
coos bay,43.37,-124.22,82.0,68,1,29.97,US,1598655055
hay river,60.82,-115.8,55.4,93,75,12.75,CA,1598655055
tessalit,20.2,1.01,90.12,35,12,16.15,ML,1598655056
waipawa,-41.41,175.52,57.2,67,52,18.34,NZ,1598655056
longyearbyen,78.22,15.64,33.8,92,90,3.36,SJ,1598655056
gamba,-2.65,10.0,74.21,87,100,8.77,GA,1598655056
pemangkat,1.17,108.97,77.58,88,99,5.61,ID,1598655057
bandarbeyla,9.49,50.81,75.9,77,24,28.01,SO,1598655057
puerto madryn,-42.77,-65.04,48.24,50,58,15.84,AR,1598655049
cap malheureux,-19.98,57.61,69.01,79,2,5.01,MU,1598655057
minsk,53.9,27.57,50.0,100,72,2.24,BY,1598655058
mengcheng,33.26,116.57,73.13,93,0,4.23,CN,1598655058
neuquen,-38.95,-68.06,55.4,43,99,11.41,AR,1598655058
basco,20.45,121.97,83.91,81,95,17.74,PH,1598655059
kamaishi,39.27,141.88,82.4,88,75,1.12,JP,1598655059
lieksa,63.32,30.02,48.72,85,21,5.93,FI,1598655059
guerrero negro,27.98,-114.06,84.81,53,0,17.07,MX,1598655059
birin,26.89,88.07,61.23,100,36,2.62,NP,1598655060
lahij,13.17,44.58,89.22,41,94,6.15,YE,1598655060
malatya,38.5,38.0,64.4,39,0,6.93,TR,1598655060
fairbanks,64.84,-147.72,59.0,87,75,5.82,US,1598655060
mahajanga,-15.72,46.32,69.8,77,5,5.82,MG,1598655061
floro,61.6,5.03,53.6,87,13,4.7,NO,1598655061
saint-joseph,-21.37,55.62,69.8,73,75,4.7,RE,1598655061
carutapera,-1.2,-46.02,76.44,89,92,4.99,BR,1598655062
pervomayskoye,43.92,46.71,75.29,57,100,18.07,RU,1598655062
abha,18.22,42.51,69.8,88,20,3.71,SA,1598655062
faya,18.39,42.45,69.8,88,7,1.52,SA,1598655062
korla,41.76,86.15,63.21,56,88,12.21,CN,1598655063
sarangani,5.4,125.46,83.53,73,98,8.32,PH,1598655003
kodiak,57.79,-152.41,64.4,48,1,10.29,US,1598655063
pangnirtung,66.15,-65.71,48.2,81,20,5.82,CA,1598655063
cabedelo,-6.98,-34.83,75.2,94,89,6.93,BR,1598655064
bonavista,48.65,-53.11,57.99,79,51,8.99,CA,1598655064
iquitos,-3.75,-73.25,86.0,66,20,6.93,PE,1598655064
gilbues,-9.83,-45.34,77.41,26,7,4.5,BR,1598655064
thompson,55.74,-97.86,60.8,77,75,8.05,CA,1598655065
raalte,52.39,6.28,54.0,96,65,7.96,NL,1598655065
miyako,39.64,141.95,84.54,74,26,1.3,JP,1598655065
asyut,27.18,31.18,82.4,51,0,6.93,EG,1598655065
sayyan,15.17,44.32,61.97,66,89,1.41,YE,1598655066
kasempa,-13.46,25.83,67.89,41,43,3.67,ZM,1598655066
dunedin,-45.87,170.5,50.59,66,21,4.16,NZ,1598654961
cairns,-16.92,145.77,71.01,77,75,14.99,AU,1598655067
pocatello,42.87,-112.45,87.8,16,20,9.17,US,1598655067
kalmunai,7.42,81.82,78.49,78,66,3.76,LK,1598655067
alice springs,-23.7,133.88,44.6,30,0,4.7,AU,1598655067
weiser,44.25,-116.97,93.0,21,1,3.36,US,1598655068
vieira de leiria,39.87,-8.93,63.0,82,20,14.99,PT,1598655068
kahului,20.89,-156.47,93.2,36,40,24.16,US,1598655068
miri,4.41,114.01,75.2,100,40,2.24,MY,1598655068
jilib,0.49,42.79,74.93,83,60,8.03,SO,1598655069
panaba,21.28,-88.27,91.04,61,57,10.54,MX,1598655069
eyl,7.98,49.82,76.64,74,27,20.33,SO,1598655069
richards bay,-28.78,32.04,66.13,81,89,2.98,ZA,1598655070
westport,41.14,-73.36,82.4,54,1,8.05,US,1598654943
zhireken,52.82,117.31,48.83,78,100,5.99,RU,1598655070
provideniya,64.38,-173.3,50.0,81,75,4.47,RU,1598655070
rocky mount,35.94,-77.79,91.4,63,40,6.93,US,1598655070
jalu,29.03,21.55,78.85,60,0,10.94,LY,1598655071
olafsvik,64.89,-23.71,51.85,85,100,14.97,IS,1598655071
half moon bay,37.46,-122.43,75.99,64,40,9.17,US,1598655071
boden,65.83,21.69,48.2,93,90,3.38,SE,1598655072
smithers,54.78,-127.17,59.0,47,40,2.24,CA,1598655072
kavali,14.92,79.98,83.3,70,100,5.68,IN,1598655072
mosquera,4.71,-74.23,68.0,30,90,13.87,CO,1598655072
ayan,56.45,138.17,58.28,57,0,11.65,RU,1598655073
zabaykalsk,49.63,117.32,51.58,82,68,10.71,RU,1598655073
billings,45.78,-108.5,82.0,24,20,5.82,US,1598654778
zhezkazgan,47.8,67.71,64.98,44,0,9.1,KZ,1598655073
mindelo,16.89,-24.98,84.2,74,75,3.36,CV,1598655036
asau,46.43,26.4,59.0,74,32,3.76,RO,1598655074
berdigestyakh,62.1,126.7,54.46,51,92,4.0,RU,1598655074
hovd,48.01,91.64,50.77,69,100,1.43,MN,1598655074
bloomfield,40.81,-74.19,84.2,58,1,4.7,US,1598654794
puerto penasco,31.32,-113.53,91.99,75,28,11.01,MX,1598655075
flinders,-34.58,150.86,57.99,79,0,4.0,AU,1598655075
soyo,-6.13,12.37,72.34,87,98,10.04,AO,1598655075
parkersburg,39.27,-81.56,84.2,66,40,8.05,US,1598655076
wasilla,61.58,-149.44,60.8,62,1,3.11,US,1598655057
baghdad,33.34,44.4,84.2,28,0,6.93,IQ,1598654959
cidreira,-30.18,-50.21,65.17,77,73,8.46,BR,1598655076
belaya gora,68.53,146.42,45.14,74,99,4.68,RU,1598655077
galle,6.04,80.22,80.62,80,91,12.71,LK,1598655077
bathsheba,13.22,-59.52,84.2,70,40,20.8,BB,1598655077
high prairie,55.43,-116.49,73.2,41,100,4.85,CA,1598655077
zakamensk,50.37,103.29,48.0,88,100,1.21,RU,1598655078
codrington,-38.27,141.97,50.14,72,0,16.93,AU,1598655078
okhotsk,59.38,143.3,53.76,66,62,7.43,RU,1598655078
kununurra,-15.77,128.73,75.2,23,7,11.41,AU,1598655078
contamana,-7.33,-75.02,85.42,37,0,3.51,PE,1598655079
chifeng,42.27,118.96,59.94,84,95,1.83,CN,1598655079
brae,60.4,-1.35,50.0,81,57,11.41,GB,1598655079
prince rupert,54.32,-130.32,59.0,72,75,8.05,CA,1598655080
akhmim,26.56,31.75,82.4,37,0,4.7,EG,1598655080
greenville,35.61,-77.37,89.6,62,1,6.93,US,1598655080
chamba,32.57,76.13,67.5,64,0,4.0,IN,1598655081
invermere,50.52,-116.04,80.01,25,0,1.01,CA,1598654965
mukhen,48.1,136.1,62.55,75,100,9.82,RU,1598655081
houma,29.6,-90.72,89.01,70,75,8.05,US,1598655082
bhadrachalam,17.67,80.88,75.54,91,100,1.57,IN,1598655082
nanortalik,60.14,-45.24,49.87,75,100,21.92,GL,1598654987
san quintin,30.48,-115.95,77.29,63,36,12.44,MX,1598655082
salina,38.84,-97.61,102.0,29,1,5.82,US,1598654902
cap-aux-meules,47.38,-61.86,59.0,72,75,17.22,CA,1598655083
toamasina,-18.17,49.38,64.4,100,40,2.24,MG,1598655083
ilave,-16.08,-69.67,48.13,66,8,8.9,PE,1598655083
karymskoye,51.62,114.35,53.2,75,100,3.31,RU,1598655084
norman wells,65.28,-126.83,51.8,66,90,9.17,CA,1598655014
hambantota,6.12,81.12,79.81,79,100,16.31,LK,1598655084
ust-tsilma,65.44,52.15,41.97,87,41,3.13,RU,1598655084
stolin,51.89,26.85,54.46,94,13,4.21,BY,1598655085
port hardy,50.7,-127.42,60.8,72,75,12.75,CA,1598655085
manaure,11.78,-72.44,88.5,61,34,16.93,CO,1598655085
ranong,9.97,98.63,79.52,81,100,3.74,TH,1598655086
sapouy,11.55,-1.77,72.77,95,99,6.8,BF,1598655086
guane,22.2,-84.09,85.73,73,34,8.88,CU,1598655086
nchelenge,-9.35,28.73,71.35,64,73,3.0,ZM,1598655086
klaksvik,62.23,-6.59,46.4,81,77,11.41,FO,1598655087
novobiryusinskiy,56.96,97.71,52.61,90,100,2.21,RU,1598655087
mount isa,-20.73,139.5,69.8,26,0,12.75,AU,1598655087
barabinsk,55.36,78.36,55.02,86,64,6.98,RU,1598655087
lata,40.16,-8.33,64.0,77,74,1.01,PT,1598655088
port keats,-14.25,129.55,72.9,46,0,13.0,AU,1598655088
ancud,-41.87,-73.82,44.01,67,1,11.41,CL,1598655089
kapoeta,4.77,33.59,73.65,84,72,2.37,SS,1598655089
cherskiy,68.75,161.3,45.66,80,85,6.31,RU,1598655090
port hueneme,34.15,-119.2,71.01,72,20,13.87,US,1598654805
rehoboth,-23.32,17.08,41.27,57,0,7.87,NA,1598655090
srednekolymsk,67.45,153.68,43.23,91,100,1.48,RU,1598655090
ursulo galvan,22.73,-98.3,93.99,60,15,1.99,MX,1598655091
ampanihy,-24.7,44.75,72.57,55,39,6.06,MG,1598655091
port hawkesbury,45.62,-61.35,64.4,59,1,5.82,CA,1598655091
zmiyiv,49.7,36.36,59.0,82,18,4.47,UA,1598655091
ledyard,41.44,-72.01,79.0,65,1,8.05,US,1598655092
kutahya,39.42,29.98,60.8,59,0,4.7,TR,1598655092
aksarka,66.56,67.8,52.27,87,100,15.77,RU,1598655092
bat khela,34.62,71.97,73.74,73,34,3.62,PK,1598654952
baijiantan,45.63,85.18,66.85,45,0,5.77,CN,1598655093
buala,-8.14,159.59,83.84,72,52,4.43,SB,1598655093
sesimbra,38.44,-9.1,66.99,68,20,11.41,PT,1598655093
mattru,7.62,-11.83,72.77,98,100,2.82,SL,1598655093
erie,42.77,-78.67,73.0,73,90,5.82,US,1598654833
kalaleh,37.38,55.49,69.8,73,0,4.7,IR,1598655094
governador dix-sept rosado,-5.46,-37.52,81.14,56,16,10.89,BR,1598655094
alora,36.82,-4.71,86.0,40,50,12.75,ES,1598655094
lincoln,40.8,-96.67,93.2,38,20,12.75,US,1598655095
hof,50.32,11.92,57.99,96,100,3.0,DE,1598655095
lasa,46.62,10.7,61.0,100,90,3.36,IT,1598655095
itaituba,-4.28,-55.98,78.75,74,99,1.01,BR,1598655096
raudeberg,61.99,5.14,55.99,84,3,17.83,NO,1598655096
palana,59.12,159.97,50.32,67,12,7.78,RU,1598655096
san lorenzo,-25.33,-57.53,89.6,31,20,6.93,PY,1598655096
bemidji,47.47,-94.88,70.0,64,1,23.04,US,1598655097
zhengjiatun,43.51,123.51,61.16,88,81,8.32,CN,1598655097
chaman,30.92,66.45,61.81,26,0,1.52,PK,1598655097
maceio,-9.67,-35.74,73.4,88,93,3.36,BR,1598654998
sadovoye,47.78,44.51,67.57,63,76,7.65,RU,1598655098
banjar,-8.19,114.97,78.8,100,75,12.75,ID,1598655098
goderich,43.75,-81.72,75.0,74,86,5.39,CA,1598655077
qianan,44.99,124.06,60.73,92,100,7.63,CN,1598655098
kruisfontein,-34.0,24.73,48.99,85,1,1.01,ZA,1598655099
general pico,-35.66,-63.76,58.01,55,98,6.49,AR,1598655099
tabou,4.42,-7.35,75.65,87,43,8.59,CI,1598655099
japura,-0.32,102.35,73.47,89,100,2.15,ID,1598655100
fukue,32.69,128.84,82.09,86,0,12.26,JP,1598655100
tandil,-37.32,-59.13,59.0,85,73,3.0,AR,1598655100
constitucion,-35.33,-72.42,50.18,91,100,13.13,CL,1598655100
lavrentiya,65.58,-171.0,50.13,75,74,2.04,RU,1598655101
ahipara,-35.17,173.17,61.27,65,2,7.43,NZ,1598655101
phan thiet,10.93,108.1,77.34,87,97,7.54,VN,1598655101
upata,8.01,-62.4,81.0,80,24,8.99,VE,1598655101
khani,41.96,42.96,66.2,93,85,4.7,GE,1598655102
iguape,-24.71,-47.56,65.48,91,0,4.29,BR,1598655102
college,64.86,-147.8,59.0,76,75,4.7,US,1598655102
mandla,22.6,80.38,73.13,96,100,11.88,IN,1598655102
vila velha,-20.33,-40.29,72.0,94,20,4.7,BR,1598654986
kangaatsiaq,68.31,-53.46,44.62,73,92,10.09,GL,1598655103
namibe,-15.2,12.15,59.41,81,92,6.69,AO,1598655103
moose factory,51.26,-80.61,57.2,82,1,13.87,CA,1598655103
ginda,30.69,78.49,60.57,81,0,2.33,IN,1598655104
vallenar,-28.57,-70.76,59.79,36,12,2.73,CL,1598655104
gumdag,39.21,54.59,75.97,20,0,12.41,TM,1598655104
plouzane,48.38,-4.62,55.4,93,20,4.7,FR,1598655104
innisfail,-17.53,146.03,61.0,94,97,5.01,AU,1598655105
coihaique,-45.58,-72.07,33.8,64,75,2.24,CL,1598655105
fuyu,45.18,124.82,62.31,93,97,8.48,CN,1598655105
atar,20.52,-13.05,92.93,36,64,20.92,MR,1598655106
yumen,40.28,97.2,58.39,49,100,9.22,CN,1598655106
rocha,-34.48,-54.33,57.27,95,91,6.11,UY,1598655106
