City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
palmer,42.16,-72.33,55.4,82,1,1.83,US,1598843224
port alfred,-33.59,26.89,48.74,73,0,10.65,ZA,1598843114
aksu,41.12,80.26,76.12,35,0,1.36,CN,1598843535
kapaa,22.08,-159.32,84.2,66,1,17.22,US,1598843105
vanavara,60.34,102.28,62.19,55,5,5.28,RU,1598843247
dormidontovka,47.77,134.91,64.8,68,100,7.18,RU,1598843535
mar del plata,-38.0,-57.56,46.0,60,0,4.7,AR,1598842850
disna,55.57,28.2,56.66,97,100,5.17,BY,1598843535
hualmay,-11.1,-77.61,60.03,86,38,10.18,PE,1598843536
ponta do sol,32.67,-17.1,71.6,56,40,21.92,PT,1598843128
hasaki,35.73,140.83,90.0,74,75,9.17,JP,1598843197
kpandae,8.47,-0.01,72.28,93,100,5.48,GH,1598843536
puerto escondido,15.85,-97.07,80.11,76,72,3.4,MX,1598843492
bathsheba,13.22,-59.52,80.6,78,20,6.93,BB,1598843116
upernavik,72.79,-56.15,39.22,88,95,9.06,GL,1598843022
correntina,-13.34,-44.64,70.23,55,0,6.24,BR,1598843537
teya,60.38,92.63,61.0,71,86,2.62,RU,1598843537
laramie,41.31,-105.59,57.99,48,81,11.01,US,1598843538
ramtek,21.4,79.33,77.0,88,1,2.24,IN,1598843538
luganville,-15.53,167.17,80.6,83,75,6.93,VU,1598843538
east london,-33.02,27.91,50.92,57,0,8.81,ZA,1598843141
lata,40.16,-8.33,60.01,81,35,4.7,PT,1598843240
carnarvon,-24.87,113.63,69.8,73,0,11.41,AU,1598843119
mae sai,20.43,99.88,82.99,94,20,1.12,TH,1598843539
banswada,18.38,77.88,78.13,81,4,8.12,IN,1598843539
anito,12.45,125.29,90.05,60,100,7.34,PH,1598843540
sitka,57.05,-135.33,57.2,87,75,8.05,US,1598843133
new norfolk,-42.78,147.06,52.0,62,80,3.0,AU,1598842901
thunder bay,48.4,-89.32,55.0,93,40,10.29,CA,1598843540
bambous virieux,-20.34,57.76,70.0,83,75,23.04,MU,1598843159
high level,58.52,-117.14,50.0,76,20,2.21,CA,1598843483
lagos,6.58,3.75,77.0,88,20,3.36,NG,1598843541
storslett,69.77,21.02,40.55,75,16,5.77,NO,1598843541
san javier,37.81,-0.84,69.01,68,0,6.93,ES,1598843542
tiarei,-17.53,-149.33,82.4,61,20,8.05,PF,1598843542
georgetown,5.41,100.34,86.0,88,20,2.55,MY,1598843070
isangel,-19.55,169.27,73.4,73,90,9.17,VU,1598843166
chapais,49.78,-74.85,50.0,81,75,3.36,CA,1598842964
tibiri,13.56,7.05,77.95,75,54,7.83,NE,1598843543
sakakah,29.97,40.21,78.8,14,0,5.82,SA,1598843343
vancouver,49.25,-123.12,60.8,67,90,3.36,CA,1598843281
palotina,-24.28,-53.84,73.78,63,99,5.12,BR,1598843544
sovetskiy,61.36,63.58,56.48,92,98,8.5,RU,1598843544
seoul,37.57,126.98,82.4,74,90,3.36,KR,1598843286
talnakh,69.49,88.4,44.6,100,90,11.18,RU,1598843196
vao,-22.67,167.48,67.42,66,57,14.88,NC,1598843154
norman wells,65.28,-126.83,64.4,42,75,10.29,CA,1598843114
dunedin,-45.87,170.5,60.71,44,100,11.05,NZ,1598843545
najran,17.49,44.13,73.4,31,11,4.7,SA,1598843545
port moresby,-9.44,147.18,89.6,62,40,17.22,PG,1598843546
kahului,20.89,-156.47,89.6,43,1,28.86,US,1598843546
bethel,41.37,-73.41,60.01,93,1,3.36,US,1598843120
marawi,8.0,124.29,86.0,70,100,3.0,PH,1598843167
faya,18.39,42.45,68.0,29,29,2.57,SA,1598843215
avera,33.19,-82.53,80.6,94,75,4.7,US,1598843318
skara,58.39,13.44,41.0,86,0,5.1,SE,1598843452
flin flon,54.77,-101.86,47.77,83,98,3.83,CA,1598843547
tessalit,20.2,1.01,84.42,56,26,5.88,ML,1598843547
port elizabeth,-33.92,25.57,44.6,81,0,9.17,ZA,1598843129
victoria,22.29,114.16,91.0,59,25,5.99,HK,1598843014
tual,-5.67,132.75,79.59,86,0,12.53,ID,1598843549
erdemli,36.6,34.31,84.22,34,0,7.09,TR,1598843346
labrea,-7.26,-64.8,79.95,60,94,2.53,BR,1598843549
cape town,-33.93,18.42,50.0,81,75,9.17,ZA,1598843032
hofn,64.25,-15.21,51.75,86,100,15.14,IS,1598843125
hithadhoo,-0.6,73.08,82.29,72,100,10.04,MV,1598843131
dikson,73.51,80.55,41.81,98,100,13.09,RU,1598843117
hamilton,39.18,-84.53,71.01,82,1,4.7,US,1598843151
yulara,-25.24,130.99,71.6,30,0,14.99,AU,1598843110
constitucion,-35.33,-72.42,44.35,79,0,5.28,CL,1598843185
santa isabel,-23.32,-46.22,66.2,77,20,6.93,BR,1598843551
kamenka,51.32,42.77,61.25,57,0,5.91,RU,1598843551
port lincoln,-34.73,135.87,54.86,51,96,2.77,AU,1598843161
jalu,29.03,21.55,77.77,33,0,7.76,LY,1598843551
filingue,14.35,3.32,79.77,72,100,4.7,NE,1598843551
nador,35.17,-2.93,75.2,83,40,4.7,MA,1598843552
derzhavinsk,51.1,66.32,72.68,40,0,7.47,KZ,1598843552
chuzhou,32.32,118.3,89.26,68,1,1.57,CN,1598843552
wadi maliz,36.47,8.55,77.0,61,40,5.12,TN,1598843553
lagunas,-5.23,-75.68,78.44,70,0,1.68,PE,1598843553
havre-saint-pierre,50.23,-63.6,48.2,87,90,11.41,CA,1598843554
liku,-0.73,119.89,89.56,50,90,1.43,ID,1598843554
sur,22.57,59.53,85.26,62,61,6.98,OM,1598843318
douentza,15.0,-2.95,79.95,75,3,4.7,ML,1598843554
nivala,63.92,24.97,48.0,87,100,1.99,FI,1598843554
mwinilunga,-11.74,24.43,60.39,88,8,5.06,ZM,1598843555
banjar,-8.19,114.97,84.2,83,40,17.22,ID,1598843226
pisco,-13.7,-76.22,59.0,87,42,9.17,PE,1598843074
pevek,69.7,170.31,40.68,77,2,9.22,RU,1598843556
chokurdakh,70.63,147.92,48.22,60,84,9.26,RU,1598843130
tuatapere,-46.13,167.68,59.5,56,4,17.31,NZ,1598843130
trairi,-3.28,-39.27,77.83,73,0,14.12,BR,1598843200
nouadhibou,20.93,-17.03,71.6,73,17,16.11,MR,1598843244
whithorn,18.26,-78.04,84.2,74,20,3.36,JM,1598843556
andrelandia,-21.74,-44.31,60.78,68,0,1.83,BR,1598843557
astrakhan,46.35,48.04,69.8,40,60,6.71,RU,1598843557
aklavik,68.22,-135.01,50.0,81,90,4.7,CA,1598843155
albanel,48.88,-72.45,51.8,87,75,5.82,CA,1598843253
namibe,-15.2,12.15,59.95,76,3,4.43,AO,1598843558
homa bay,-0.53,34.46,60.8,93,49,3.36,KE,1598843558
riberalta,-10.98,-66.1,78.49,57,7,2.15,BO,1598843558
katsuura,35.13,140.3,90.0,74,20,11.41,JP,1598843142
denpasar,-8.65,115.22,84.2,83,40,17.22,ID,1598843559
bakaly,55.18,53.8,58.12,79,100,6.58,RU,1598843559
geraldton,-28.77,114.6,68.0,68,0,9.17,AU,1598843009
marienburg,54.04,19.03,61.0,93,75,8.05,PL,1598843559
nizhniy kuranakh,58.84,125.49,68.0,52,69,3.94,RU,1598843560
sobolevo,54.43,31.9,61.95,90,58,11.16,RU,1598843560
cherskiy,68.75,161.3,42.12,81,100,5.37,RU,1598843111
baykit,61.67,96.37,58.19,70,85,2.98,RU,1598843561
fort-shevchenko,44.51,50.26,75.02,74,0,16.06,KZ,1598843561
amapa,1.0,-52.0,72.88,92,0,3.02,BR,1598843561
los llanos de aridane,28.66,-17.92,71.6,60,40,13.87,ES,1598843561
sao filipe,14.9,-24.5,77.45,82,90,6.33,CV,1598843126
abu dhabi,24.47,54.37,93.2,75,20,9.17,AE,1598843545
iralaya,15.0,-83.23,80.06,83,0,7.45,HN,1598843232
ribeira grande,38.52,-28.7,74.35,93,12,6.17,PT,1598843192
mandalgovi,45.76,106.27,56.97,61,100,18.9,MN,1598843283
pictou,45.68,-62.72,62.01,80,0,8.01,CA,1598843562
shahapur,19.45,73.33,82.4,88,75,10.29,IN,1598843563
cidreira,-30.18,-50.21,55.87,80,99,8.79,BR,1598843138
ondjiva,-17.07,15.73,57.02,27,0,3.91,AO,1598843563
rosarito,32.33,-117.03,69.01,77,1,5.82,MX,1598843563
san quintin,30.48,-115.95,68.38,78,0,11.45,MX,1598843264
palencia,42.42,-4.5,50.0,88,33,4.0,ES,1598843564
visnes,59.36,5.22,53.6,76,31,11.41,NO,1598843564
kaitangata,-46.28,169.85,61.57,47,52,16.46,NZ,1598842924
umm kaddadah,13.6,26.69,80.98,54,100,6.29,SD,1598843565
antalaha,-14.9,50.28,68.97,89,39,6.98,MG,1598843565
teseney,15.11,36.66,71.28,80,100,6.71,ER,1598843565
cap malheureux,-19.98,57.61,70.0,77,22,8.99,MU,1598843111
luderitz,-26.65,15.16,52.27,44,0,18.72,NA,1598843254
itamarandiba,-17.86,-42.86,60.33,95,0,3.15,BR,1598843566
ust-kan,50.93,84.76,58.26,61,0,2.73,RU,1598843566
vilcun,-38.65,-72.23,42.8,81,1,9.17,CL,1598843566
shache,38.42,77.24,75.2,23,0,3.15,CN,1598843181
asyut,27.18,31.18,77.0,41,0,6.93,EG,1598843193
arlit,18.74,7.39,86.72,43,38,2.71,NE,1598843567
opportunity,47.65,-117.24,70.0,26,83,1.99,US,1598843567
gizo,-8.1,156.84,85.03,77,64,9.55,SB,1598843568
cedar city,37.68,-113.06,80.6,12,1,13.87,US,1598843324
atar,20.52,-13.05,86.94,21,0,5.12,MR,1598843118
hirara,24.8,125.28,86.0,79,75,21.92,JP,1598843568
bara,10.37,10.73,73.08,93,90,3.56,NG,1598843153
stutterheim,-32.57,27.42,33.93,88,0,4.65,ZA,1598843569
bosaso,11.28,49.18,91.85,41,100,16.75,SO,1598843569
lagoa,39.05,-27.98,73.8,93,66,9.01,PT,1598842983
beyneu,45.32,55.2,74.44,44,0,7.14,KZ,1598843569
rochester,43.15,-77.62,59.0,87,40,3.83,US,1598843513
lorengau,-2.02,147.27,83.41,82,93,12.19,PG,1598843127
tiksi,71.69,128.87,44.62,77,1,10.42,RU,1598843106
horsham,51.06,-0.33,52.0,81,100,1.12,GB,1598843570
tiznit,29.58,-9.5,74.26,38,0,1.63,MA,1598843180
tilichiki,60.47,166.1,52.97,64,97,16.22,RU,1598843242
kuusamo,65.97,29.18,42.8,100,28,2.24,FI,1598843571
samarai,-10.62,150.67,78.76,87,93,17.78,PG,1598843241
cochrane,51.18,-114.47,54.0,50,1,8.05,CA,1598843571
ilulissat,69.22,-51.1,39.2,69,0,5.75,GL,1598843126
goderich,43.75,-81.72,63.0,86,0,8.55,CA,1598842879
carauari,-4.88,-66.9,72.79,95,98,0.96,BR,1598843572
kruisfontein,-34.0,24.73,41.07,83,0,6.26,ZA,1598842937
port blair,11.67,92.75,84.65,71,86,4.16,IN,1598843172
saint-augustin,51.23,-58.65,48.13,88,100,22.12,CA,1598843115
grootfontein,-19.57,18.12,46.72,48,0,7.99,NA,1598843573
inuvik,68.35,-133.72,50.0,81,90,4.7,CA,1598843573
pionki,51.48,21.45,70.0,84,97,1.01,PL,1598843573
boueni,-12.9,45.08,75.2,83,67,8.05,YT,1598843574
presidencia roque saenz pena,-26.79,-60.44,57.83,64,100,9.33,AR,1598843574
rawson,-43.3,-65.1,42.64,65,8,9.93,AR,1598843239
russell,32.35,-85.2,75.2,94,1,3.69,US,1598843574
aripuana,-9.17,-60.63,78.85,49,77,1.88,BR,1598843575
leningradskiy,69.38,178.42,36.32,92,100,3.91,RU,1598842936
prince rupert,54.32,-130.32,53.6,100,90,9.17,CA,1598843295
bondo,3.81,23.69,67.14,97,96,1.32,CD,1598843576
ocos,14.51,-92.19,77.0,100,75,2.95,GT,1598843576
lompoc,34.64,-120.46,60.8,82,1,11.41,US,1598843160
bundaberg,-24.85,152.35,78.01,41,75,5.82,AU,1598843346
ambulu,-8.35,113.61,83.48,61,67,8.37,ID,1598843576
baiyin,36.56,104.21,55.4,87,20,6.71,CN,1598843577
yar-sale,66.83,70.83,44.76,77,100,15.39,RU,1598843187
arraial do cabo,-22.97,-42.03,72.0,87,0,13.96,BR,1598842867
saint-pierre,-21.34,55.48,64.4,72,8,5.82,RE,1598843243
avarua,-21.21,-159.78,75.2,69,51,6.93,CK,1598843153
nizwa,22.93,57.53,86.77,36,71,4.56,OM,1598843578
portland,45.52,-122.68,70.0,56,74,7.65,US,1598843207
sao joao de pirabas,-0.77,-47.18,79.41,79,14,10.13,BR,1598843578
port shepstone,-30.74,30.45,55.31,58,99,9.8,ZA,1598843216
ballina,-28.87,153.57,80.01,44,0,8.05,AU,1598843579
ak-dovurak,51.18,90.6,61.09,48,0,0.54,RU,1598843579
bac lieu,9.29,105.72,87.01,70,54,11.14,VN,1598843176
vilhena,-12.74,-60.15,73.35,50,0,1.54,BR,1598843579
kolondieba,11.09,-6.89,70.95,97,99,4.72,ML,1598843580
maxineni,45.4,27.63,63.52,93,0,5.48,RO,1598843580
alofi,-19.06,-169.92,80.6,65,85,14.99,NU,1598843159
caravelas,-17.71,-39.25,69.78,92,0,4.25,BR,1598843140
raudeberg,61.99,5.14,46.0,88,23,11.27,NO,1598843581
torbay,47.67,-52.73,69.01,94,90,25.28,CA,1598843108
chabahar,25.29,60.64,80.6,88,20,6.93,IR,1598843581
vardo,70.37,31.11,44.6,75,75,8.05,NO,1598843138
eyrarbakki,63.86,-21.15,55.4,82,90,21.92,IS,1598843582
nemuro,43.32,145.57,60.8,67,75,13.87,JP,1598843156
awbari,26.59,12.78,81.0,24,0,6.08,LY,1598843582
camacha,33.08,-16.33,69.8,64,75,12.75,PT,1598843132
faanui,-16.48,-151.75,77.56,77,4,20.56,PF,1598842995
zhigansk,66.77,123.37,51.51,82,98,6.73,RU,1598843252
sungaipenuh,-2.08,101.38,79.07,63,90,1.88,ID,1598843430
coihaique,-45.58,-72.07,35.6,85,98,2.24,CL,1598843392
ughelli,5.49,6.01,73.11,95,71,1.97,NG,1598843583
esperance,-33.87,121.9,60.8,63,0,19.46,AU,1598843147
souillac,-20.52,57.52,69.8,83,75,23.04,MU,1598843148
miraflores,19.22,-98.81,68.0,56,75,11.41,MX,1598843584
gat,31.61,34.76,81.0,81,5,3.56,IL,1598843584
pocatello,42.87,-112.45,66.2,14,1,16.11,US,1598843031
nenjiang,49.18,125.22,61.95,95,100,13.51,CN,1598843146
goroka,-6.08,145.39,78.49,45,25,5.21,PG,1598843585
honningsvag,70.98,25.97,47.34,71,52,14.03,NO,1598843544
ferkessedougou,9.6,-5.2,70.65,96,100,8.32,CI,1598843585
binabalian,16.42,119.93,84.58,72,38,6.4,PH,1598843586
beringovskiy,63.05,179.32,47.19,75,100,30.94,RU,1598843229
matadi,-5.82,13.45,72.84,78,100,4.59,CD,1598843586
iwanai,42.97,140.51,63.39,77,100,5.14,JP,1598843586
karaman,37.08,33.25,59.4,39,0,3.24,TR,1598843586
mapastepec,15.43,-92.9,77.86,79,98,2.82,MX,1598843587
cayenne,4.93,-52.33,78.8,88,93,12.1,GF,1598842984
jian,27.12,114.98,89.47,57,27,6.85,CN,1598843575
padang,-0.95,100.35,78.8,83,40,9.17,ID,1598843258
aguimes,27.91,-15.45,71.6,68,20,19.46,ES,1598843588
durant,33.99,-96.37,84.2,70,1,6.93,US,1598843588
bubaque,11.28,-15.83,79.81,83,85,13.89,GW,1598843181
bandikui,27.05,76.57,77.67,84,98,11.54,IN,1598843588
maridi,4.92,29.47,65.07,96,60,2.59,SS,1598843589
borova,50.18,30.1,69.01,56,0,4.47,UA,1598843589
santa cruz de la palma,28.68,-17.76,71.6,60,40,13.87,ES,1598843589
tecolutla,20.48,-97.02,84.33,82,74,14.56,MX,1598843589
kautokeino,69.01,23.04,35.82,84,64,3.24,NO,1598843590
angoche,-16.23,39.91,67.68,88,19,6.53,MZ,1598843590
burnie,-41.07,145.92,55.99,53,89,8.99,AU,1598843330
cardston,49.2,-113.3,61.0,58,75,6.93,CA,1598843590
coolum beach,-26.53,153.1,75.99,61,0,3.0,AU,1598843591
farafangana,-22.82,47.83,66.25,90,38,3.06,MG,1598843591
bengkulu,-3.8,102.27,85.41,64,80,3.33,ID,1598843145
buffalo,42.89,-78.88,64.4,59,1,3.36,US,1598843329
sampit,-2.53,112.95,90.05,53,98,4.79,ID,1598843226
magadan,59.57,150.8,56.73,50,53,10.8,RU,1598843592
ercis,39.03,43.36,55.4,76,0,4.7,TR,1598843592
opuwo,-18.06,13.84,50.63,44,0,4.81,NA,1598843592
maua,-23.67,-46.46,63.0,88,90,12.75,BR,1598843593
inirida,3.87,-67.92,71.98,92,61,1.83,CO,1598843593
neiafu,-18.65,-173.98,80.6,74,75,16.11,TO,1598843417
kirensk,57.79,108.11,61.75,58,98,1.05,RU,1598843593
labuhan,-6.88,112.21,85.84,56,23,2.8,ID,1598843120
methoni,36.82,21.7,78.01,69,0,6.93,GR,1598843594
kutum,14.2,24.67,73.54,68,92,5.97,SD,1598843594
saskylakh,71.92,114.08,56.98,58,34,7.99,RU,1598843131
itoman,26.12,127.67,82.4,88,75,24.16,JP,1598843248
payakumbuh,-0.22,100.63,79.54,73,98,2.86,ID,1598843595
cabo san lucas,22.89,-109.91,84.0,83,20,9.17,MX,1598843169
culpeper,38.5,-77.97,66.0,100,1,3.36,US,1598843595
narsaq,60.92,-46.05,48.2,61,100,4.7,GL,1598843208
kidal,18.44,1.41,83.12,61,55,2.95,ML,1598843596
bauchi,10.5,10.0,71.62,89,100,1.74,NG,1598843596
vestmanna,62.16,-7.17,48.2,100,81,12.75,FO,1598843455
silikatnyy,53.99,48.33,55.4,100,0,4.47,RU,1598843596
kavaratti,10.57,72.64,82.17,75,74,9.17,IN,1598843596
krasnoarmeysk,51.02,45.7,62.01,85,0,1.01,RU,1598843597
portobelo,9.55,-79.65,79.0,88,47,3.0,PA,1598843597
manzhouli,49.6,117.43,62.91,73,81,9.46,CN,1598843597
san andres,12.58,-81.7,82.4,88,40,4.7,CO,1598843560
lakatoro,-16.1,167.42,80.6,83,75,6.93,VU,1598843598
tucumcari,35.17,-103.72,84.2,25,1,10.29,US,1598843321
saint-francois,46.42,3.91,57.2,87,90,2.24,FR,1598843598
klos,41.51,20.09,64.4,88,0,1.12,AL,1598843598
kashi,39.45,75.98,71.6,49,75,6.71,CN,1598843490
gao,16.64,1.64,82.76,64,100,5.28,ML,1598842947
san pedro,14.35,121.02,88.0,70,53,10.29,PH,1598843599
bayir,37.27,28.22,66.2,82,0,4.52,TR,1598843599
krasnoyarsk,56.01,92.79,60.8,77,40,8.95,RU,1598843343
grindavik,63.84,-22.43,53.6,100,90,21.92,IS,1598843151
jieshi,22.81,115.83,85.21,70,0,3.13,CN,1598843600
sonamura,23.47,91.27,86.0,89,75,7.94,IN,1598843600
bontang,0.13,117.5,85.17,68,100,3.11,ID,1598843600
kuzino,57.02,59.44,56.35,88,100,7.54,RU,1598843601
harper,4.38,-7.72,75.33,83,100,10.58,LR,1598843601
coquimbo,-29.95,-71.34,51.8,87,70,5.82,CL,1598843110
newport,51.59,-3.0,50.0,91,43,4.99,GB,1598843562
paris,48.85,2.35,57.99,87,90,5.82,FR,1598843328
east wenatchee bench,47.43,-120.28,77.0,17,1,8.05,US,1598843602
salacgriva,57.75,24.36,54.0,96,98,3.74,LV,1598843602
la union,-5.4,-80.75,63.72,77,85,12.97,PE,1598843602
kodoli,16.88,74.2,74.89,83,40,9.93,IN,1598843603
longyearbyen,78.22,15.64,39.2,89,75,6.93,SJ,1598842813
ketchikan,55.34,-131.65,55.4,87,90,6.93,US,1598843143
anadyr,64.75,177.48,51.8,53,40,17.9,RU,1598843603
palm beach,26.71,-80.04,78.8,88,75,5.82,US,1598843432
taltal,-25.4,-70.48,55.17,79,100,0.65,CL,1598843604
yankton,42.87,-97.4,75.2,69,20,8.05,US,1598843604
mayskiy,47.69,40.1,66.2,52,0,11.18,RU,1598843435
vila velha,-20.33,-40.29,75.99,88,20,10.29,BR,1598843106
zion,42.45,-87.83,66.99,77,1,5.82,US,1598843605
sao joao da barra,-21.64,-41.05,72.46,87,0,12.68,BR,1598843060
yunyang,33.45,112.71,78.01,61,5,5.99,CN,1598843605
kulhudhuffushi,6.62,73.07,82.53,73,97,10.63,MV,1598843605
puri,19.8,85.85,84.2,83,20,4.7,IN,1598843587
hayden,47.77,-116.79,69.8,16,1,11.41,US,1598843606
karratha,-20.74,116.85,92.48,16,47,12.01,AU,1598843457
tupiza,-21.45,-65.72,49.6,60,75,8.72,BO,1598843007
valleyview,55.07,-117.29,48.04,79,100,1.79,CA,1598843607
poum,-20.23,164.02,69.55,66,3,7.76,NC,1598843198
santa maria,-29.68,-53.81,51.8,87,90,9.17,BR,1598843607
marsaxlokk,35.84,14.54,78.01,94,20,5.82,MT,1598843607
kargat,55.2,80.28,64.65,76,19,3.91,RU,1598843607
wajima,37.4,136.9,78.8,78,75,4.7,JP,1598843608
sloboda,51.14,40.3,62.2,57,0,6.38,RU,1598843608
buncrana,55.13,-7.45,51.66,83,99,5.06,IE,1598843608
smithers,54.78,-127.17,48.2,100,90,5.82,CA,1598843609
balabac,7.99,117.06,87.87,63,55,2.91,PH,1598843609
north mankato,44.17,-94.03,64.4,88,1,9.17,US,1598843609
urumqi,43.8,87.6,75.99,35,0,2.24,CN,1598843609
popondetta,-8.75,148.25,91.02,51,99,5.97,PG,1598843211
auki,-8.77,160.7,88.59,62,4,4.25,SB,1598843175
conway,35.09,-92.44,77.0,100,1,4.7,US,1598843401
bilibino,68.05,166.44,46.02,61,100,5.28,RU,1598843128
temir,49.14,57.13,75.74,28,0,5.88,KZ,1598843610
peniche,39.36,-9.38,57.0,88,7,9.4,PT,1598843187
cururupu,-1.83,-44.87,77.02,86,0,5.3,BR,1598843611
airai,-8.93,125.41,75.94,53,1,8.3,TL,1598843126
kurilsk,45.23,147.88,55.98,65,19,6.11,RU,1598843611
vicente guerrero,19.12,-98.17,59.0,87,75,4.88,MX,1598843611
luanda,-8.84,13.23,68.0,88,75,3.36,AO,1598843612
omsukchan,62.53,155.8,52.57,44,18,5.21,RU,1598843237
beaumont,30.09,-94.1,84.2,89,1,5.82,US,1598843612
pochutla,15.74,-96.47,79.0,88,87,2.28,MX,1598843150
haverfordwest,51.8,-4.97,59.0,100,0,6.93,GB,1598843612
caraballeda,10.61,-66.85,66.99,92,100,4.79,VE,1598843613
paulo afonso,-9.41,-38.21,67.73,92,8,7.36,BR,1598843613
dukat,62.55,155.55,49.57,49,2,6.64,RU,1598843613
aneho,6.23,1.6,77.0,83,40,6.93,TG,1598843614
xinxiang,35.31,113.87,91.0,54,0,7.07,CN,1598843614
kavieng,-2.57,150.8,86.47,66,14,7.05,PG,1598843144
